A_id,B_id
462,2732
1319,1243
1885,970
1238,1065
1088,1863
1318,1534
1651,2696
1328,742
1481,1715
2666,1236
799,2799
1965,405
1978,2345
160,2996
2912,1682
203,2950
3012,2487
334,805
2265,2427
523,872
1978,3036
614,2761
680,1521
1224,815
2994,2802
1539,2014
2193,1612
1143,1469
3001,1448
1012,457
2871,2695
2134,724
2001,2948
2713,2212
2671,2199
1485,2877
936,1292
1530,1311
1020,1260
197,2179
2369,1260
1246,1648
658,1814
1020,2181
1246,1176
2709,1955
3001,1083
2234,856
697,2565
3122,2347
501,715
1225,555
1800,1921
1305,957
56,2605
97,2000
1109,2343
3060,2181
1675,659
2212,1254
2070,2645
1051,981
1029,250
433,2226
1281,33
1161,2204
2955,1303
345,639
1211,1993
1293,1028
561,897
1262,2913
142,1549
1486,1929
3052,1004
1165,1390
1342,2086
225,1073
1064,2048
1555,552
1935,1641
1342,273
1251,505
155,2601
2369,1254
1034,2671
263,1727
1328,2478
640,929
1749,2971
748,2374
475,493
1445,1048
1874,589
1090,298
2878,837
1651,882
2962,1636
949,2478
2019,1954
1328,2540
309,2003
1667,1866
1421,2536
2392,1114
870,1531
1020,1254
902,2612
217,1368
3067,151
2101,2870
2561,1289
3060,1254
1368,680
1821,1250
2363,1003
3059,757
2412,1705
735,2267
1487,171
727,2600
596,614
2050,1799
2200,1399
1966,2203
1457,1114
188,1702
1481,1166
1758,1740
2597,1320
2425,1416
3121,493
1527,1262
1625,639
1315,671
2081,1944
116,680
2326,2842
2963,2645
678,511
2284,1945
2512,1040
579,1358
14,1218
2811,55
2805,1389
347,2177
375,585
883,146
1966,538
1103,1151
2019,836
84,652
1749,2393
2821,2290
2350,1700
219,2758
1060,2489
2564,3036
2576,138
1485,2799
3032,1897
1023,1736
1238,273
1916,1759
2374,1471
90,1743
459,997
1069,1
242,2849
460,2563
1613,1355
1707,2774
1149,478
145,2554
254,133
607,1293
246,769
99,2087
312,1525
384,1362
607,270
2189,2537
179,1641
1613,1443
799,949
2296,2354
2149,511
945,2204
