name,duration,genre,release_date,directors,stars
Good Sam (DVD),114 min,Comedy,07/01/2014,Leo McCarey,"Bobby Dolan Jr., Joan Lorring, Carol Stevens, Matt Moore, Netta Packer, Gary Cooper, Edmund Lowe, Ann Sheridan, Ray Collins"
Fool's Gold (Blu-ray),112 min,Comedy,06/17/2008,Andy Tennant,"Donald Sutherland, Matthew McConaughey, Ewen Bremner, Kate Hudson, Adam LeFevre, Alexis Dziena"
Greg and Steve Live Volume 4 CD,,Music & Performance,,,
Flywheel (DVD),114 min,Drama,11/13/2007,Alex Kendrick,"Richie Hunnewell, Alex Kendrick, Janet Lee Dapper, Blake Bailey, Lisa Arnold"
Night at the Museum: Battle of the Smithsonian (DVD),105 min,Comedy,12/01/2009,Shawn Levy,"Amy Adams, Ricky Gervais, Owen Wilson, Jake Cherry, Robin Williams, Ben Stiller"
London Has Fallen (DVD),99,"Drama, Action & Adventure",06/14/2016,Babak Najafi,"Morgan Freeman, Alon Aboutboul, Robert Forster, Radha Mitchell, Jackie Earle Haley, Aaron Eckhart, Angela Bassett, Gerard Butler, Melissa Leo, Charlotte Riley"
The Shawshank Redemption (DVD),142 min,Drama,10/05/2004,Frank Darabont,"Joseph Ragno, Morgan Freeman, William Sadler, Tim Robbins, Clancy Brown, Bob Gunton, Bill Sadler"
Tinker Bell (DVD),70 min,"Action & Adventure, Anime & Animation",10/28/2008,Bradley Raymond,"Cameron Bowen, America Ferrera, Raven Symone, Emma Hunton, Raven, Kristin Chenoweth, Zack Shada, America Young, Mae Whitman, Brittany Murphy, Pamela Segall, Lucy Liu"
The Sisters Brothers (Blu-ray + DVD + Digital Copy),121 min,Western,,Jacques Audiard,"Jake Gyllenhaal, Joaquin Phoenix"
HI-YO SILVER (DVD W/3 BONUS MOVIES (DVD) (DVD),216 min,Western,08/02/2005,Joseph Kane,"Lane Chandler, Lynton Brent, Carlton Young, Clem Bevans, Al St. John, Raphael Bennett, Robert McKenzie, Tom London, Budd Buster, Karl Hackett, Richard Dix, Francis McDonald, Milt Morante, Sammy McKim, Jane Wyatt, Horace Murphy, Heber Snow, Lynne Roberts, Oscar Gahan, George Letz, Sam McDaniel, John Merton, Charles King, Lee Powell, Beryl Wallace, Herman Brix, Tex Ritter, Chick Hannon, Gene Autry, Eddy Waller, Stanley Andrews, Albert Dekker, Eugene Pallette, Victor Jory, Louise Stanley, George Cleveland, Hal Taliaferro, Rod Cameron, Chief Thundercloud, Willie Best, Robert Armstrong, Snub Pollard, Douglas Fowley, Hobart Cavanaugh"
