name,duration,genre,release_date,directors,stars
Divergent (4K Ultra HD + Blu-ray + Digital HD),111 min,Action & Adventure,07/12/2016,Neil Burger,"Shailene Woodley, Theo James, Ashley Judd, Jai Courtney, Ray Stevenson, Zoë Kravitz, Miles Teller, Tony Goldwyn, Maggie Q, Kate Winslet, Ansel Elgort, Mekhi Phifer, Ben Lloyd-Hughes, Christian Madsen, Amy Newbold, Ben Lamb, Janet Ulrich Brooks"
Pitching Love & Catching Faith (DVD),91 min,Drama,02/02/2016,,"Courtney Beavers, Derek Boone, Shawn Carter, Nicole Casper, K. Danor Gerald, Rod Gibbs, Lauryn Kent, KyRae Kogianes"
Dangerous Liaisons (DVD),120 min,Drama,,Stephen Frears,"John Malkovich, Michelle Pfeiffer, Swoosie Kurtz, Glenn Close"
Hot Rod (DVD),87 min,Comedy,,Akiva Schaffer,"Bill Hader, Danny R. McBride, Ian McShane, Brittney Irvin, Alana Husband, Jorma Taccone, Carrie Ruscheinsky, Sissy Spacek, Danny McBride, Brittany Tiplady, Mark Acheson, Ken Kirzinger, Isla Fisher, Andy Samberg"
Transformers: Dark Of The Moon (3D Blu-ray + Blu-ray + DVD),154 min,Action & Adventure,01/31/2012,Michael Bay,"Shia LaBeouf, John Malkovich, Rosie Huntington-Whiteley, Tyrese Gibson, Patrick Dempsey, Frances McDormand, John Turturro, Josh Duhamel, Brett Stimely"
Samson And Delilah (DVD),133 min,"Drama, Action & Adventure",03/12/2013,Cecil B. DeMille,"Hedy Lamarr, Henry Wilcoxon, Victor Mature, Russell Tamblyn, William Davis, George Sanders, Francis J. McDonald, Angela Lansbury"
Stand By Me (DVD),88 min,Comedy,08/29/2000,Rob Reiner,"Dave Brown, Lorna Anderson, Danny Buck, Rick Ash, Jim Behnke, Jerry Brutsche, Frances Lee McCain, Kiefer Sutherland, Rick Barker, Wil Wheaton, Tom Ajar, Corey Feldman, Faye Brenner, River Phoenix, Douglas B. Arnold, John Cusack, Lon Bender, Jerry O'Connell, Richard Dreyfuss"
Ice Age (DVD),81 mins.,"Kids & Family, Anime & Animation",04/21/2016,Chris Wedge,
Greatest Classic Films: Elvis Presley Double Feature - Jailhouse Rock / Viva Las Vegas (Deluxe Edition) (Widescreen),181,"Romance, Music & Performance",04/29/2014,George Sidney,"Elvis Presley, Dean Jones, Jennifer Holden, Mickey Shaughnessy, Judy Tyler, Ann-Margret"
The Sandlot 2 (DVD),103 min,Comedy,05/03/2005,David Mickey Evans,"Cole Evan Weiss, Greg Germann, Brett Kelly, James Earl Jones, Teryl Rothery"
Cold Comes the Night (DVD),90 min,Drama,02/25/2014,Tze Chun,"Ursula Parker, Leo Fitzpatrick, Logan Marshall-Green, Bryan Cranston, Alice Eve, Moby"
Grateful Dead: Fare Thee Well (DVD),219 mins.,Music & Performance,,,
"Barbra Streisand Collection (What's Up, Doc?/The Main Event/Up the Sandbox/Nuts)",420,,07/01/2003,,"Barbra Streisand, Madeline Kahn, Kenneth Mars, Ryan O'Neal"
War Dogs (DVD),120 min,Comedy,11/22/2016,Todd Phillips,"Jonah Hill, Miles Teller"
Broadway Melody of 1929 (DVD),128 min,"Romance, Music & Performance",01/08/2008,Harry Beaumont,"Bessie Love, Jed Prouty, J. Emmett Beck, Anita Page, Kenneth Thomson, Ken Thomson, Charles King"
How to Train Your Dragon 2 (Blu-ray + DVD + Digital Copy),102 min,Kids & Family,11/11/2014,Dean DeBlois,"America Ferrera, Jonah Hill, TJ Miller, Phillip Mcgrade, Simon Kassianides, Edie Lehmann-Boddicker, Djimon Hounsou, Gideon Emery, Jay Baruchel, Christopher Mintz-Plasse, Gerard Butler, Craig Ferguson"
Live in London (DVD),191,Music & Performance,12/08/2009,Andy Morahan,George Michael
The Mask of Zorro (DVD),137 min,Action & Adventure,10/18/2005,Martin Campbell,"Catherine Zeta-Jones, Antonio Banderas, Paco Morayta, Yolanda Orizaga, Matt Letscher, Stuart Wilson, Jose Maria de Tavira, Matthew Letscher, Anthony Hopkins"
Shirley Temple (Collectible Tin Packaging),255,"Kids & Family, Drama",12/04/2012,,Shirley Temple
Snow White with the Red Hair: The Complete Series (Blu-ray),,Anime & Animation,,Masahiro Ando,"Josh Grelle, Todd Haberkorn, Brina Palencia"
Resident Evil: The Final Chapter Collection (Blu-ray),588 mins.,Action & Adventure,,,
CHiPs ’99 (DVD),94 min,Mystery & Suspense,11/20/2012,Jon Cassar,"David Ramsey, Googy Gress, Brian Fenwick, Jerry Bishop, John Bebita, Paul Korver, Robert Pine, Judy Sheindlin, Johnnie Cochran, Jonathan Baker, Larry Wilcox, Stephen J. Cannell, Erik Estrada, Tom Hallick, Joe Basile"
Hollywood Collection: Shirley Temple (DVD),50 min,Comedy,05/26/2009,,"Alice Faye, Gloria Stuart, Shirley Temple, Tommy Tune, Cesar Romero"
The Lord Of The Rings: The Two Towers (Blu-ray),179 min,"Sci-Fi & Fantasy, Action & Adventure",05/07/2013,Peter Jackson,"Elijah Wood, Sean Astin, Liv Tyler, Viggo Mortensen, Cate Blanchett, Ian McKellen"
Puss in Boots (DVD),91 min,Anime & Animation,02/24/2012,Chris Miller,"Antonio Banderas, Amy Sedaris, Walt Dohrn, Salma Hayek, Zach Galifianakis, Billy Bob Thornton"
Fancy Nancy: Vol. 1 (DVD),138 min,Anime & Animation,,,"Christine Baranski, Dana Heath, Chi McBride, Rob Riggle, George Wendt, Alyson Hannigan, Mia Sinclair Jenness"
100 Movie Collection: Family Films (DVD),8182,Kids & Family,10/07/2014,Various,"Shirley Temple, Martin Sheen, Patrick Swayze, Haley Mills, Leslie Nielsen"
Josie and the Pussycats (DVD),99 min,"Kids & Family, Music & Performance",08/14/2001,Betty Thomas,"Natalye Vivian, Mark Aviss, Michael Silberkleit, Eric Batut, Mike Vezina, Craig Taylor, Carol Bailey, Marnie Alton, Paul Barry, Angie Rubin, Justin Chatwin, Kevin Blatch, David Tickell, Faedragh Carpenter, Alan Cumming, Rosario Dawson, Peter Teschner, Barry K. Thomas, Bruce Borland, Corinne Reilly, Rob Brady, Michael Bowers, Silver Butler, Tara Reid, Rachael Leigh Cook, Jasna Stefanovic, Parker Posey, Ian Seabrook, Michael Ross, JR Bourne, Bill Taylor, James Brebner, Kim Barker"
Terminator Genisys (DVD),125,"Drama, Action & Adventure",11/10/2015,,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney, J.K. Simmons, Dayo Okeniyi, Matt Smith"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (Blu-ray)",135 min,Anime & Animation,09/28/2010,Andrew Adamson,"Cassie Cook, Anna Popplewell, Skandar Keynes, Brandon Cook, Georgie Henley, Tilda Swinton, William Moseley, Jim Broadbent, Liam Neeson, James McAvoy"
Blade Runner 2049 (Blu-ray 3D + Blu-ray),360.00 min,Action & Adventure,,Denis Villeneuve,"Harrison Ford, Ryan Gosling"
Justin Bieber: Never Say Never (DVD),105 min,Kids & Family,,Jon Chu,Justin Bieber
Thor: The Dark World (DVD),112 min,Action & Adventure,02/25/2014,Alan Taylor,"Chris Hemsworth, Tom Hiddleston, Idris Elba, Stellan Skarsgsrd, Natalie Portman, Stellan Skarsgård, Stellan Skarsg rd, Anthony Hopkins"
Confessions of a Teenage Drama Queen (DVD),97 min,Comedy,07/20/2004,Robert W Shapiro,"Alison Pill, Alison Sealy-Smith, Glenne Headly, Megan Fox, Lindsay Lohan, Adam Garcia"
Metallica: Through the Never (DVD),93 mins.,Music & Performance,,Nimrod Antal,"Charles Craig, George A. Romero, Judith Ridley, Robert Trujillo, John A. Russo, Frank Doak, Kirk Hammett, Dane DeHaan, Duane Jones, Lars Ulrich, James Hetfield, Mark Ricci, Samuel R. Solito, Kyra Schon, A.C. McDonald, Judith O'Dea, Karl Hardman, George Kosana"
Epic (Blu-ray),102 min,"Kids & Family, Anime & Animation",08/20/2013,Chris Wedge,"Colin Farrell, John DiMaggio, Beyonce Knowles, Amanda Seyfried, Beyoncé Knowles, Christoph Waltz, Troy Evans, Josh Hutcherson"
"John Mayer: Where the Light Is, Live In Los Angeles (DVD)",164 mins.,Music,,Danny Clinch,"Pino Palladino, Steve Jordan, John Mayer"
Live in Munich (DVD),,Music & Performance,07/12/2011,,Sade
ADORE,111 min,Drama,12/10/2013,Anne Fontaine,"James Frecheville, Nathalie Baye, Sophie Lowe, Xavier Samuel, Robin Wright, Naomi Watts"
A French Village: Season 7 (DVD),330 min,,,,Marie Kremer
Brokeback Mountain (Universal 100th Anniversary) (Blu-ray + DVD + Digital Copy),135 min,Romance,01/10/2012,Ang Lee,"Heath Ledger,Jake Gyllenhaal,Michelle Williams,Anne Hathaway,Linda Cardellini"
Harry Potter Complete 8-Film Collection (DVD),1179 min,Adventure,11/11/2011,Chris Columbus,"Rupert Grint, Daniel Radcliffe, Emma Watson, Robbie Coltrane, Maggie Smith"
An American Tail (DVD),81 mins.,Childrens,03/16/2015,Don Bluth,"Christopher Plummer, Dom DeLuise, Neil Ross, Amy Green, Cathianne Blore, John P. Finnegan, Nehemiah Persoff, Erica Yohn, Pat Musick, Phillip Glasser"
Judge Dredd (DVD),96 min,Anime & Animation,04/05/2005,Beau E.L. Marks,"Armand Assante, Ewen Bremner, Joan Chen, Rob Schneider, Sylvester Stallone, Diane Lane, Jurgen Prochnow"
Into the Woods (Blu-ray + Digital HD),125 min,Comedy,03/24/2015,Rob Marshall,"Meryl Streep, Johnny Depp"
Star Trek (2009) ( (DVD) + Digital Copy),127 min,"Sci-Fi & Fantasy, Drama",11/17/2009,J.J. Abrams,"Eric Bana, Karl Urban, Leonard Nimoy, Chris Pine, Bruce Greenwood, Zachary Quinto"
Saban's Power Rangers (4K Ultra HD + Blu-ray + Digital HD),124 min,Action,,Dean Israelite,"Dacre Montgomery, Naomi Scott, RJ Cyler, Becky G, Ludi Lin, featuring Bill Hader, with Bryan Cranston, and Elizabeth Banks"
Tammy (Blu-ray),97,Comedy,12/31/2014,Melissa McCarthy,"Dakota Lee, Raven Angeline Whisnant, Jones Smith, Dan Aykroyd, Big Al Hall, Ben Falcone, Rey Hernandez, Sandy Mccarthy, Mia Rose Frampton, Willie Hill, Keith Welborn, Melissa McCarthy, Mark Duplass, Susan Sarandon, Joe Baxter, Justin Smith, Kathy Bates"
The Goonies (Other),,Kids & Family,08/09/2016,Richard Donner,"John Matuszak, Robert Davi, Steve Antin, Sean Astin, Kerri Green, Corey Feldman, Josh Brolin, Joe Pantoliano, Anne Ramsey, Jeff Cohen, Martha Plimpton"
Anchorman: The Legend of Ron Burgundy (Blu-ray),96 min,Comedy,03/15/2011,Adam McKay,"Christina Applegate, Ian Roberts, Steve Carell, Scot Robinson, David Koechner, Danny Trejo, Paul Rudd, Paul F. Tompkins, Will Ferrell"
The Guardsman (DVD),94,Action & Adventure,12/01/2015,,"Yan Jie, Zheng Peipei, Wu Ma, Yuan Biao, Xie Mengwie"
The Grateful Dead: Dead Ahead (DVD),90 mins.,Special Interests,,Len dell'Amico,"Mickey Hart, The Grateful Dead, Jerry Garcia, Bill Kreutzmann, Phil Lesh"
Alice In Chains: Music Bank - The Videos (DVD),95 min,"Drama, Music & Performance",08/28/2001,,"Jerry Cantrell, Layne Staley, Alice in Chains, Sean Kinney, Mike Inez"
All Star Comedy Jam: Live from South Beach (DVD),89 min,Comedy,02/02/2010,Leslie Small,"Melanie Comarcho, Earthquake, D.L. Hughley, Lavell Crawford, Arnez J."
Santa Paws 2: The Santa Pups (DVD),88 min,Comedy,11/20/2012,Robert Vince,"Danny Woodburn, Bryce Clyde Jenkins, Pat Finn, George Newbern, Cheryl Ladd, Obba Babatunde"
Happily Ever After: Fairy Tales For Every Child (DVD),120,Kids & Family,03/21/2012,,"Whoopi Goldberg, Will Smith, Jimmy Smits, Chris Rock, Sinbad, Denzel Washington, Loretta Devine, Samuel L. Jackson"
Once Bitten (DVD),93,Comedy,08/26/2003,Howard Storm,"Jim Carrey, Karen Kopins, Thomas Ballatore, Cleavon Little, Lauren Hutton"
Robin Hood (40th Anniversary Edition) (DVD + Digital Copy),83 min,"Action & Adventure, Anime & Animation",08/06/2013,Wolfgang Reitherman,"Beulah Bondi, Larry Clemmons, Al Dempster, Phil Harris, Andy Devine, Peter Ustinov, Dale Baer, Don Bluth, Eric Cleworth, Terry-Thomas, Brian Bedford, George Lindsey, Nancy Adams, George Bruns, Roger Miller, Tom Acosta, Ken Anderson"
Kubo and the Two Strings (DVD),101 min,Anime & Animation,12/31/2017,Travis Knight,"Cary-Hiroyuki Tagawa, Matthew McConaughey, George Takei, Art Parkinson, Meyrick Murphy, Brenda Vaccaro, Minae Noji, Rooney Mara, Ralph Fiennes, Charlize Theron"
"Honey, I Blew Up The Kid (DVD)",89 min,"Kids & Family, Comedy, Anime & Animation, Action & Adventure",01/01/2008,Randal Kleiser,"Ken Tobey, Marcia Strassman, Joshua Shalikar, Daniel Shalikar, Lloyd Bridges, Robert Oliveri, Rick Moranis"
Sinbad: Legend of Seven Seas & Road to El Dorado (DVD),255,Anime & Animation,06/22/2011,Patrick Gilmore,"Catherine Zeta-Jones, Jim Cummings, Chris Miller, Andrew Birch, Chung Chan, Lisbeth Scott, Conrad Vernon, Raman Hui, Brad Pitt, Joseph Fiennes, Michelle Pfeiffer, Adriano Giannini, Dennis Haysbert, Timothy West"
Carry On Collection: Volume 1 (DVD),542,,06/01/2013,,"Phil Silvers, Kenneth Williams, Jim Dale, Charles Hawtrey, Joan Sims, Angela Douglas, Peter Butterworth, Bernard Bresslaw, Anita Harris"
Three Stooges Collection: Volume Three 1940-1942 (DVD),396 min,,08/26/2008,,"Larry Fine, Moe Howard, Curly Howard"
Our Gang (DVD),60 min,Kids & Family,06/01/1999,Penelope Spheeris,"Darla Hood, Jackie Cooper"
Exodus: Gods and Kings (Blu-ray),165 min,Action & Adventure,03/17/2015,Ridley Scott,"Christian Bale, Joel Edgerton, Sigourney Weaver, Aaron Paul, Ben Kingsley, John Turturro"
BlacKkKlansman (Blu-ray),,Comedy,,Spike Lee,"Topher Grace, Alec Baldwin, Adam Driver"
Cats Don't Dance (DVD),120 min,Anime & Animation,08/31/2001,Mark Dindal,"Scott Bakula, Ashley Peldon, Jasmine Guy, Lindsay Rideway, John Rhys-Davies, Natalie Cole"
Air Buddies (DVD),80 min,Anime & Animation,12/12/2006,Robert Vince,"Richard Karn, Tom Everett Scott, Irene Karas, Patrick Cranshaw, Dan Joffre, Cynthia Stevenson, Holmes Osborne, Paul Rae, Slade Pearce"
San Andreas (DVD),114 min,Action & Adventure,,Brad Peyton,"Alexandra Daddario, Carla Gugino, Dwayne Johnson, Ioan Gruffudd"
Tales Of Terror: 200 Horror Movies,15774,Horror,12/03/2013,,"Vincent Price, Jack Nicholson, Bela Lugosi, Boris Karloff, Christopher Lee, Lon Chaney, Paul Nachy, Barbara Steele"
Star Wars Clone Wars: The Lost Missions (Blu-ray),286 min,Animation,11/11/2014,,"Matt Lanter, Ashley Eckstein, James Arnold Taylore, Tom Kane, Dee Bradley Baker, Nika Futterman"
Godzilla: Final Wars / Godzilla: Tokyo S.O.S. (Blu-ray),216 min,"Sci-Fi & Fantasy, Drama",05/06/2014,,"Noboru Kaneko, Miho Yoshioka, Masahiro Matsuoka, Rei Kikukawa, Don Frye, Akira Takarada"
Deadpool 2 (DVD),119 min,Action & Adventure,,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Brianna Hildebrand, Jack Kesy"
Michael Jackson's This Is It (Blu-ray),111 min,Documentary,01/26/2010,Kenny Ortega,"Michael Jackson, Dorian Holley, Jonathan Moffett, Orianthi Panagaris, Chris Grant, Misha Hamilton, Bashiri Johnson, Tommy Organ"
The Nunsense Collection (DVD),445 min,"Drama, Music & Performance",06/25/2013,Dan Goggin,"Rue McClanahan, Vicki Lawrence"
Bigfoot (DVD),84 min,Drama,02/21/2012,Robert F. Slatzer,"John Carradine, Jennifer Bishop, Sonny West, James Craig, Chris Mitchum, Lindsay Crosby, Kid Chissel, Noble ""Kid"" Chissell, James Stellar"
Pacific Rim (Blu-ray),131,Sci-Fi & Fantasy,10/22/2013,Guillermo del Toro,"Paul Wyers, Idris Elba, Jung-Yul Kim, Clifton Collins Jr., Rob Kazinsky, Josh Peace, Rinko Kikuchi, Lance Luu, Kaelyn Wong, Larry Joe Campbell, Diego Klattenhoff, Charlie Hunnam, Charlie Day"
Wildcats (DVD),107 min,Comedy,07/11/2006,Michael Ritchie,"Robyn Lively, Karen Brocco, Greg Agalsoff, James T. Boyle, LL Cool J, Joe Cocker, Brandy Gold, Tino Caira, Gerrit Dangremond, Swoosie Kurtz, Stanley Brossette, Phil Abramson, John Benson, James Keach, Goldie Hawn, Nancy E. Barr, Gloria D'Alessandro, Bruce McGill, James R. Alexander, Pamela Cederquist, Nipsey Russell"
Cloverfield (4K Ultra HD + Blu-ray + Digital HD),84 min,Action & Adventure,,Matt Reeves,"TJ Miller, Lili Mirojnick, Margot Farley, Ben Feldman, Michael Stahl-David, Theo Rossi, Kelvin Yu, T.J. Miller, Jessica Lucas, Mike Vogel, Liza Lapira, Lizzy Caplan, Michael Stahl David, Anjul Nigam, Brian Klugman"
Pete's Dragon (High-Flying Edition) (DVD),129 min,"Action & Adventure, Anime & Animation",08/18/2009,Don Chaffey,"Jim Dale, Shelley Winters, Helen Reddy, Mickey Rooney, Red Buttons, Cal Bartlett"
The Road to Red Rocks (DVD),88 mins.,Special Interests,,,Mumford & Sons
One Day (DVD),108 min,Drama,11/29/2011,Lone Scherfig,"Matthew Beard, Amanda Fairbank-Hynes, Jim Sturgess, Anne Hathaway, Matt Berry, Heida Reed, David Ajala, Tom Arnold, Toby Regbo, Diana Kent, Tom Mison, Josephine de la Baume, Rafe Spall, Tim Key, Ken Stott, James Laurenson, Patricia Clarkson, Gil Alma, Romola Garai, Clara Paget, Jodie Whittaker, Georgia King, Lorna Gayle, Ukweli Roach"
Deja Vu (Blu-ray),126 min,Action,04/24/2007,Tony Scott,"James Caviezel, Denzel Washington, Paula Patton, Adam Goldberg, Bart Hansard, Val Kilmer, Pat Noday"
Call Me by Your Name (Blu-ray + Digital),132 min,Drama,,Luca Guadagnino,"Armie Hammer, Timothee Chalamet, Amira Casar, Esther Garrel, Michael Stuhlbarg"
Michael Clayton (Blu-ray),119 min,Drama,02/19/2008,Tony Gilroy,"Pamela Gray, Tilda Swinton, Christopher Mann, Michael O'Keefe, Sydney Pollack, Alberto Vazquez, Jack Fitz, George Clooney, Amy Hargreaves, Tom Wilkinson, David Zayas"
Springtime In The Rockies (DVD),90 min,Music & Performance,,Irving Cummings,"The Banda Da Lua, Six Hits and a Miss, John Payne, Carmen Miranda, Harry James, Charlotte Greenwood, Helen Forrest, Trudy Marshall, Betty Grable, James Mcafee, Cesar Romero"
The Normal Heart (DVD),128,Drama,08/26/2014,Ryan Murphy,"Alec Baldwin, Denis O'Hare, Joel Grey, Finn Wittrock, Alfred Molina, Matthew Bomer, Jim Parsons, Jonathan Groff, Taylor Kitsch, Stephen Spinella, Joe Mantello, Corey Stoll, Matt Bomer, Mark Ruffalo, B.D. Wong, Julia Roberts"
3 Greatest Horror Classics of All Time (DVD),260 min,Horror,11/13/2007,Alan Gibson,"William Franklyn, Christopher Lee, Freddie Jones, Michael Coles, Joanna Lumley, Peter Cushing"
Mickey's Once Upon a Christmas and Mickey's Twice Upon a Christmas (Special Edition) (Blu-ray + DVD),159 min,Anime & Animation,11/04/2014,"Jun Falkenstein, Bill Speers, Matthew O'Callaghan, Toby Shelton, Bradley Raymond","Kelsey Grammer, Clive Revill, Wayne Allwine, Russi Taylor, Tony Anselmo"
Ruthless People (DVD),90 min,Anime & Animation,04/02/2002,Jim Abrahams,"Danny De Vito, Anita Morris, Bette Midler, Danny DeVito, Helen Slater, J. E. Freeman, Dale Launer, William Schilling, Judge Reinhold"
Rocketman (DVD),94 min,"Sci-Fi & Fantasy, Anime & Animation",01/01/2008,Stuart Gillard,"Paxton Whitehead, Jeffrey DeMunn, Ken Farmer, James Pickens, Jr., Don Lake, James Pickens Jr., Harland Williams, Jessica Lundy, William Sadler, Pamela West, William Arthur Jenkins, Bill Sadler"
The 6th Day,124 mins.,"Sci-Fi & Fantasy, Drama",01/30/2007,Roger Spottiswoode,"Michael Rapaport, Robert Duvall, Steve Bacic, Wendy Crewson, Ken Pogue, Terry Crews, Rod Rowland, Arnold Schwarzenegger, Jennifer Gareis, Taylor Anne Reid, Wanda Cannon, Tony Goldwyn, Michael Rooker, Don McManus, Colin Cunningham, Sarah Wynter, Christopher Lawford"
TEMPTATIONS-BEST OF THE TEMPTATIONS ON THE ED SULLIVAN SHOW (DVD) (DVD),40,Music,09/13/2011,Andrew Solt,The Temptations
White Chicks (DVD),115 min,Comedy,10/26/2004,Keenen Ivory Wayans,"Lochlyn Munro, Frankie R. Faison, Shawn Wayans, Jaime King, John Heard, Marlon Wayans"
One Direction: This Is Us (DVD + Digital HD),92 min,Music & Performance,12/17/2013,Morgan Spurlock,"Liam Payne, Louis Tomlinson, Zayn Malik, One Direction, Harry Styles, Niall Horan"
The Sherlock Holmes Collection: Volume 3 (DVD),265,Drama,01/27/2004,Roy William Neill,"Edmond Breon, Billy Bevan, Tom Dillon, Boyd Davis, Leyland Hodgson, Marjorie Riordan, Frederic Worlock, Leslie Vincent, Alan Mowbray, Carl Harbord, Percival Vivian, Skelton Knaggs, Harry Cording, Janet Murdoch, Patricia Cameron, Ian Wolfe, Rex Evans, Paul Cavanagh, Mary Gordon, Wee Willie Davis, Nigel Bruce, Leslie Dennison, Tom Bryson, Mary Forbes, Holmes Herbert, Basil Rathbone, Olaf Hytten, Martin Kosleck, Morton Lowry, Wilson Benge, Dennis Hoey, Eve Amber, John Abbott, John Burton, Gerald Hamer, Patricia Morison, Hillary Brooke, Tom P. Dillon, Renee Godfrey, Henry Daniell, Matthew Boulton, Sven Hugo Borg, Geoffrey Steele, Edmund Breon, Sally Shepherd, Rosalind Ivan"
I Can Only Imagine (Blu-ray + DVD + Digital),110 min,Kids & Family,,"Andrew Erwin, Jon Erwin","Brody Rose, Cloris Leachman, Dennis Quaid"
Strategic Air Command (DVD),114 min,Drama,,Anthony Mann,"June Allyson, Frank Lovejoy, Barry Sullivan, Alex Nicol, James Stewart"
Tyler Perry's A Madea Christmas: The Movie (DVD + Digital),153,Holiday,11/25/2014,Tyler Perry,"Kathy Najimy, Anna Maria Horsford, Chad Michael Murray, Eric Lively, Tyler Perry, Tika Sumpter"
Avengers: Infinity War (Cinematic Universe Edition) (4K Ultra HD + Blu-ray + Digital Code),150 min,Action & Adventure,,Anthony and Joe Russo,"Robert Downey, Jr., Chris Evans, Chris Hemsworth, Mark Ruffalo, Jeremy Renner, Scarlett Johansson, Tom Holland, Elizabeth Olsen, Paul Bethany, Sebastian Stan, Benedict Cumberbatch, Benedict Wong, Chris Pratt, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Chadwick Boseman, Danai Gurira, Letitia Wright, and Josh Brolin as the evil Thanos"
Alien (DVD),124,Horror,10/07/2014,Ridley Scott,"Harry Dean Stanton, Nobby Cross, Gordon Carroll, Veronica Cartwright, Yaphet Kotto, Peter Baldock, John Hurt, Valerie Craig, Leslie Dilley, Colin Davidson, Ray Evans, Tom Skerritt, Nick Allder, Adrian Biddle, Alan Bryce, Roger Dicken, Ron Cobb, Roger Christian, Percy Edwards, Sigourney Weaver, Ian Holm"
North & South (DVD),233 mins.,Drama,03/01/2016,,"Emma Ferguson, Daniela Denby-Ashe, Richard Armitage, Tim Pigott-Smith, Travis Oliver, Kate Bartlett"
Imitation Of Life (DVD),236,Drama,01/10/2012,Douglas Sirk,"Rochelle Hudson, Ann Robinson, Susan Kohner, Leota Lorraine, Henry Armetta, Troy Donahue, Fredi Washington, Sandra Dee, Alan Hale, Claudette Colbert, Wyndham Standing, Mahalia Jackson, John Gavin, Dan O'Herlihy, Lana Turner, Juanita Moore, Terry Burnham, Juanita Quigley, Warren William, Karen Dicker, Robert Alda, Louise Beavers, Sandra Gould, Ned Sparks"
Deadpool 2 (Blu-ray + Digital),119 min,Action & Adventure,,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Brianna Hildebrand, Jack Kesy"
Pj Masks: Cracking The Case (DVD),75 min,Anime & Animation,,,
Inside Out (DVD),94 min,Anime & Animation,11/03/2015,Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias"
The Nutty Professor (DVD),96 min,Comedy,03/06/2012,Tom Shadyac,"Hamilton Van Watts, Larry Miller, David Ramsey, James Coburn, Nichole McAuley, Jamal Mixon, Eddie Murphy, Jada Pinkett Smith, Dave Chappelle"
Dog Day Afternoon,125 min,Classics,08/15/2008,,
Fright Night (10 Movies On 3 DVDs),803 mins.,Horror,10/18/2005,William Castle,"Vincent Price, Bela Lugosi, Lon Chaney Jr."
Musical Classics 50 Movie Megapack (DVD),3965 min,"Romance, Music & Performance",04/05/2005,LeRoy Prinz,"Fred Astaire, Judy Garland, Frank Sinatra"
L.M. Montgomery's Anne of Green Gables (DVD),90 min,Drama,,John Kent Harrison,"Linda Kash, Ella Ballentine, Julia Lalonde, Kyle Gatehouse, Sara Botsford, Stefani Kimber, Martin Sheen, Zoe Fraser"
Welcome to the Videos (DVD),75 mins.,Music & Performance,10/28/2003,,Guns N' Roses
Northpole (DVD),80 min,"Sci-Fi & Fantasy, Kids & Family, Holiday",11/01/2016,,"Bailee Madison, Josh Hopkins"
Suddenly and Royal Wedding (DVD),170 min,,01/01/1980,,"Fred Astaire, Jane Powell, Frank Sinatra"
Tyler Perry's Meet the Browns (DVD),100 min,Action & Adventure,07/01/2008,Tyler Perry,"Jenifer Lewis, Sofia Vergara, Kristopher Lofton, Frankie R. Faison, Frankie Faison, Margaret Avery, David A. Mann, Angela Bassett, Tamela J Mann, Rick Fox, Jennifer Lewis"
The Man Who Cried (DVD),100 min,Drama,06/08/2004,Sally Potter,"Daniel Hart, Harry Dean Stanton, Linda Bruce, Joelle Baland, Johnny Depp, Danny Scheinmann, Cate Blanchett, Brigitte Boucher, Richard Bradshaw, Anita Burger, Christina Ricci, Manfred Andrae, Andy Bradford, Richard Albrecht, Alex Alexander, David Baxt, Peter Majer, Tim Bevan, John Turturro, Cliff Barry, Alastair Bullock, Thom Osborn, Jan Archibald, Claudia Lander-Duke"
Rookie of the Year (DVD),103 min,Comedy,12/13/2011,David Stern,"Dan Hedaya, Amy Morton, Bruce Altman, Robert Gorman, Colombe Jacobsen, Albert Hall, Thomas Ian Nicholas, Gary Busey"
Newsies (Collector's Edition) (DVD),121 min,Anime & Animation,08/31/2001,Kenny Ortega,"Christian Bale, David Moscow, Marty Belafsky, Ele Keats, Ann-Margret, Max Casella, Luke Edwards"
Back to the Future (DVD),116,Action & Adventure,03/08/2016,Robert Zemeckis,Michael J. Fox
For Love Of Ivy (DVD),101 min,Romance,,Daniel Mann,"Beau Bridges, Sidney Poitier, Nan Martin, Abbey Lincoln, Carroll O'Connor, Lauri Peters"
The Batman / Superman Movie (DVD),60 min,"Action & Adventure, Anime & Animation",08/31/2001,Toshihiko Masuda,"Tim Daly, Kevin Conroy, Mark Hamill, Clancy Brown, Dana Delany"
The Next Karate Kid (DVD),107 min,Action & Adventure,06/07/2005,Christopher Cain,"Jim Ishida, Walt Goggins, Chris Conrad, Michael Ironside, Pat Morita, Constance Towers, Noriyuki ""Pat"" Morita, Hilary Swank, Arsenio Trinidad"
